LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,predicted_price
11520,615.0,110.0,0.0,1588.0,1698.0,1698,0,0,1698,2,3,7,730.0,192,74,0,0,0,257221.40576382494
14122,240.0,28.0,0.0,1794.0,1822.0,1822,0,0,1822,2,3,8,678.0,0,119,0,0,0,245005.5109446056
14300,1095.0,1373.0,0.0,1473.0,2846.0,2696,0,0,2696,2,3,10,958.0,220,150,0,0,0,410700.20923983795
13650,232.0,578.0,0.0,1093.0,1671.0,1687,563,0,2250,2,3,7,756.0,238,130,0,0,0,281099.6272965324
7132,178.0,24.0,0.0,1346.0,1370.0,1370,0,0,1370,2,2,6,484.0,120,49,0,0,0,202027.87121642422
18494,0.0,0.0,0.0,1324.0,1324.0,1324,0,0,1324,2,3,6,430.0,36,23,0,0,0,168008.1908155014
3203,14.0,16.0,0.0,1129.0,1145.0,1145,0,0,1145,2,2,6,437.0,100,116,0,0,0,173915.5015147518
13300,0.0,326.0,0.0,58.0,384.0,744,630,0,1374,2,3,7,400.0,100,0,0,0,0,152114.47457273587
8577,0.0,0.0,0.0,847.0,847.0,847,886,0,1733,2,3,7,433.0,144,48,0,0,0,187692.22106569426
17433,114.0,0.0,0.0,1629.0,1629.0,1645,830,0,2475,2,4,7,962.0,23,172,0,0,256,288221.9807627044
8987,226.0,0.0,0.0,1595.0,1595.0,1595,0,0,1595,2,2,6,880.0,144,0,0,0,0,250546.8406696841
9215,0.0,0.0,0.0,1218.0,1218.0,1218,0,0,1218,2,2,4,676.0,0,136,0,0,0,182189.58944999962
10440,0.0,1414.0,0.0,54.0,1468.0,1468,0,0,1468,2,2,6,528.0,0,102,0,0,216,232787.2966566278
11920,122.0,0.0,0.0,831.0,831.0,831,828,0,1659,2,3,8,484.0,144,68,0,0,0,199170.64335208898
9800,0.0,0.0,0.0,816.0,816.0,1012,0,0,1012,1,2,5,429.0,121,0,80,0,0,125591.82789444445
15410,250.0,126.0,859.0,223.0,1208.0,1494,0,0,1494,2,3,7,461.0,296,0,186,0,0,187614.6645010821
13143,504.0,250.0,981.0,0.0,1231.0,1251,1098,0,2349,2,4,9,762.0,32,130,0,0,0,263007.03406900854
11134,180.0,1129.0,0.0,261.0,1390.0,1402,823,0,2225,2,4,7,713.0,198,30,0,0,0,252203.00405467075
4835,0.0,1298.0,0.0,190.0,1488.0,1488,0,0,1488,2,2,6,506.0,168,50,0,0,0,221363.60186354662
3515,0.0,0.0,0.0,840.0,840.0,840,840,0,1680,2,2,3,588.0,0,111,0,0,0,184005.1685063767
3215,120.0,280.0,0.0,320.0,600.0,600,600,0,1200,2,2,4,480.0,0,172,0,0,0,159932.9788160494
2544,0.0,368.0,42.0,190.0,600.0,600,600,0,1200,2,2,4,480.0,0,172,0,0,0,155568.72136050314
2544,216.0,376.0,0.0,224.0,600.0,600,636,0,1236,2,2,4,480.0,0,166,0,0,0,166604.17240921644
2980,1159.0,466.0,0.0,290.0,756.0,756,756,0,1512,2,2,5,440.0,0,32,0,0,0,225076.30066796896
2403,0.0,244.0,0.0,286.0,530.0,530,550,0,1080,2,2,4,496.0,0,50,0,0,0,145058.12397835733
12853,0.0,1032.0,0.0,610.0,1642.0,1418,0,0,1418,1,1,6,852.0,160,192,0,224,0,260490.1895758103
7379,0.0,484.0,0.0,491.0,975.0,975,873,0,1848,2,3,7,592.0,280,184,0,0,0,222569.48333157593
8000,0.0,833.0,0.0,659.0,1492.0,1492,0,0,1492,2,3,6,596.0,277,137,0,0,0,212993.35850867725
10456,120.0,506.0,0.0,1323.0,1829.0,1829,0,0,1829,2,4,8,535.0,0,76,0,0,0,216083.5632594027
10791,0.0,1137.0,0.0,143.0,1280.0,1280,1215,0,2495,2,4,9,660.0,224,32,0,0,0,265690.2432688349
18837,0.0,687.0,46.0,491.0,1224.0,1287,604,0,1891,3,3,7,678.0,0,69,0,0,0,246442.43141017293
9600,0.0,329.0,0.0,386.0,715.0,930,715,0,1645,1,4,7,441.0,0,78,0,0,0,137198.69944886916
9600,172.0,698.0,0.0,534.0,1232.0,1232,0,0,1232,1,3,6,490.0,0,224,0,0,0,159825.84960881746
9900,0.0,1059.0,0.0,150.0,1209.0,1209,0,0,1209,1,3,6,504.0,0,0,120,0,0,146362.85222749942
9680,268.0,1010.0,0.0,500.0,1510.0,1510,0,0,1510,2,3,6,517.0,0,40,0,0,204,221765.44982558186
10600,0.0,0.0,0.0,533.0,533.0,1131,644,0,1775,2,3,8,480.0,0,172,0,0,0,179484.02240257108
13260,144.0,1500.0,0.0,228.0,1728.0,1728,0,0,1728,2,6,10,0.0,0,0,0,0,0,156924.79529632608
9724,265.0,670.0,0.0,470.0,1140.0,1929,532,0,2461,2,3,7,400.0,0,0,0,0,0,230488.9511329458
17360,340.0,300.0,0.0,482.0,782.0,1019,537,0,1556,2,3,6,470.0,0,0,150,0,0,175768.54216331153
11380,216.0,944.0,0.0,136.0,1080.0,1128,0,0,1128,1,2,5,315.0,238,0,0,0,0,160635.43512747905
8267,0.0,0.0,0.0,1604.0,1604.0,1604,0,0,1604,2,4,8,576.0,42,0,0,0,0,191029.13899384235
8197,506.0,1188.0,0.0,292.0,1480.0,1480,0,0,1480,2,3,7,620.0,252,73,0,0,0,242079.75809305056
8050,150.0,856.0,162.0,125.0,1143.0,1143,0,0,1143,1,3,6,308.0,0,0,0,0,0,134763.81219051278
10725,91.0,936.0,0.0,270.0,1206.0,1206,0,0,1206,1,3,6,312.0,0,21,0,0,0,140381.10652274257
10032,432.0,734.0,0.0,510.0,1244.0,1580,0,0,1580,1,3,6,440.0,0,28,0,0,160,188635.37867775746
8382,0.0,0.0,0.0,832.0,832.0,832,505,0,1337,1,3,5,263.0,0,0,0,0,0,114068.68211392208
10950,0.0,339.0,0.0,525.0,864.0,1064,0,0,1064,1,2,4,318.0,0,0,0,0,0,117678.06212853306
10895,0.0,648.0,0.0,324.0,972.0,972,0,0,972,1,3,5,305.0,0,0,205,0,0,99792.89144565439
13587,0.0,532.0,0.0,456.0,988.0,988,0,0,988,1,2,5,264.0,0,0,0,0,0,124093.25258780623
7898,0.0,0.0,0.0,576.0,576.0,985,0,0,985,1,2,4,676.0,0,0,0,0,0,125319.31239167681
8064,0.0,481.0,174.0,161.0,816.0,816,408,0,1224,1,3,5,280.0,414,0,0,0,0,132332.40274514066
7635,0.0,588.0,350.0,237.0,1175.0,1175,0,0,1175,1,3,6,484.0,0,0,0,0,0,139722.82951198358
9760,218.0,717.0,263.0,415.0,1395.0,1395,0,0,1395,1,2,7,440.0,657,0,113,0,240,230225.50385755324
4800,771.0,48.0,0.0,661.0,709.0,1157,687,0,1844,1,3,9,240.0,84,0,0,0,0,188218.87145444925
4485,0.0,579.0,0.0,357.0,936.0,936,0,0,936,1,2,5,0.0,51,0,135,0,0,95243.62542491285
5805,0.0,274.0,1073.0,0.0,1347.0,1347,0,0,1347,1,3,6,551.0,0,0,0,0,0,149711.67556686458
6900,0.0,0.0,0.0,827.0,827.0,827,424,0,1251,1,3,6,240.0,0,0,0,0,0,113009.42905919571
11851,0.0,780.0,0.0,247.0,1027.0,1027,606,0,1633,1,3,7,240.0,0,100,126,0,0,150357.55519239942
8239,0.0,176.0,0.0,832.0,1008.0,1060,185,0,1245,1,3,6,315.0,0,0,334,0,0,109140.6309130203
9656,0.0,0.0,0.0,678.0,678.0,832,0,0,832,1,2,5,780.0,0,0,0,0,0,137077.27311445426
9600,0.0,0.0,0.0,930.0,930.0,930,636,0,1566,2,3,7,288.0,54,228,246,0,0,158918.48211780834
9000,0.0,0.0,0.0,346.0,346.0,1157,1111,0,2268,3,3,7,624.0,0,108,0,0,0,222049.21712451926
9045,0.0,0.0,0.0,840.0,840.0,1128,1128,0,2256,2,4,12,0.0,0,18,18,0,0,182694.53117965648
10560,0.0,283.0,0.0,455.0,738.0,868,602,0,1470,1,2,6,624.0,0,0,0,0,0,170673.9455975041
5830,0.0,788.0,0.0,200.0,988.0,1030,582,0,1612,1,3,7,363.0,0,0,0,0,0,158769.31359512664
7793,0.0,474.0,0.0,634.0,1108.0,1160,908,0,2068,1,3,8,315.0,0,0,60,0,0,182282.7545628527
5000,0.0,188.0,0.0,577.0,765.0,765,0,0,765,1,2,4,200.0,135,0,41,0,0,94820.11236625073
6000,0.0,452.0,12.0,144.0,608.0,608,524,0,1132,1,2,5,240.0,0,0,128,0,0,112645.6303528694
6000,0.0,264.0,0.0,308.0,572.0,848,348,0,1196,1,3,6,576.0,0,0,0,0,0,127500.40610725201
6360,300.0,360.0,159.0,316.0,835.0,955,498,0,1453,1,3,7,240.0,0,0,35,0,148,152241.5441581462
6000,0.0,300.0,0.0,480.0,780.0,780,636,0,1416,1,3,6,312.0,221,0,48,0,0,137216.83887325472
6240,0.0,276.0,0.0,252.0,528.0,548,492,0,1040,1,2,5,624.0,306,0,32,0,0,150169.3650747616
6240,0.0,448.0,0.0,480.0,928.0,928,608,0,1536,2,4,7,480.0,0,10,0,0,0,161928.20713007305
6120,0.0,960.0,0.0,164.0,1124.0,1068,0,0,1068,1,2,5,288.0,0,0,128,0,0,131260.10540120953
8094,0.0,0.0,0.0,888.0,888.0,888,1074,0,1962,1,4,9,572.0,160,0,364,0,0,167906.3402064914
12900,0.0,0.0,0.0,780.0,780.0,780,780,0,1560,1,3,7,0.0,344,0,0,0,168,145842.08665396972
3068,0.0,0.0,0.0,662.0,662.0,662,662,0,1324,1,3,6,180.0,0,0,112,0,0,102749.01522860769
15263,90.0,766.0,0.0,656.0,1422.0,1675,0,0,1675,2,3,8,365.0,0,132,0,0,0,204049.5600027628
10632,0.0,0.0,0.0,689.0,689.0,725,499,0,1224,1,3,6,180.0,0,0,248,0,0,93502.03969946929
9900,0.0,1026.0,0.0,186.0,1212.0,1212,180,0,1392,1,3,6,0.0,0,0,168,0,0,116798.78142916632
6001,0.0,368.0,0.0,232.0,600.0,600,319,0,919,1,3,5,231.0,0,0,45,0,0,85599.55076087778
6449,0.0,73.0,0.0,634.0,707.0,942,942,0,1884,1,4,7,0.0,0,0,239,0,0,101303.37412471793
6048,0.0,736.0,0.0,120.0,856.0,936,744,0,1680,2,2,7,450.0,56,144,0,0,0,208280.08902881065
10773,72.0,704.0,0.0,1128.0,1832.0,1832,0,0,1832,2,4,8,0.0,0,58,0,0,0,177112.19452243965
7800,47.0,240.0,474.0,150.0,864.0,892,0,0,892,1,3,5,416.0,0,0,0,0,0,103681.2132845046
7832,0.0,775.0,0.0,89.0,864.0,864,0,0,864,1,2,4,280.0,226,0,0,0,0,121652.46427719657
7424,0.0,1319.0,0.0,0.0,1319.0,1373,0,0,1373,1,3,5,591.0,0,0,0,0,0,165083.63306645353
11227,0.0,267.0,453.0,0.0,720.0,720,720,0,1440,1,4,7,480.0,192,38,0,0,0,137633.3804392493
20062,0.0,1092.0,0.0,328.0,1420.0,1483,0,0,1483,1,1,4,690.0,496,0,0,0,0,233480.99381285146
9259,0.0,0.0,0.0,660.0,660.0,756,0,0,756,1,2,4,440.0,80,0,0,0,0,106389.0038885577
17082,288.0,964.0,0.0,153.0,1117.0,1117,864,0,1981,2,4,8,522.0,336,104,0,0,0,236828.01376604184
18600,0.0,288.0,684.0,0.0,972.0,1052,558,0,1610,2,4,8,480.0,0,0,60,0,0,166300.20407744305
11479,0.0,104.0,387.0,172.0,663.0,1074,0,0,1074,1,3,6,467.0,0,52,52,0,0,109339.0687132346
9350,0.0,192.0,0.0,564.0,756.0,1169,0,362,1531,1,3,8,209.0,0,0,0,0,0,114263.11933824568
9525,0.0,954.0,0.0,218.0,1172.0,1172,0,0,1172,1,3,5,366.0,240,0,0,0,0,142739.4560877709
17485,96.0,1346.0,0.0,162.0,1508.0,1508,0,0,1508,1,1,5,572.0,0,0,0,0,0,218214.43756917978
11200,0.0,0.0,0.0,1250.0,1250.0,1298,0,0,1298,2,3,5,504.0,0,144,0,0,0,162716.11636061777
11980,177.0,1433.0,0.0,0.0,1433.0,1433,0,0,1433,1,1,4,528.0,0,278,0,0,266,230676.15874143154
12361,85.0,860.0,0.0,86.0,946.0,964,838,0,1802,2,3,8,1017.0,450,92,0,0,0,271112.93670201756
7360,80.0,24.0,0.0,1198.0,1222.0,1222,0,0,1222,2,2,6,615.0,0,54,0,0,0,190923.29162600936
14235,0.0,0.0,0.0,676.0,676.0,831,614,0,1445,2,3,6,484.0,0,59,0,0,0,159203.68314664645
11105,0.0,870.0,0.0,0.0,870.0,965,0,0,965,1,2,4,580.0,71,0,0,0,0,142591.4789034809
9337,0.0,353.0,0.0,525.0,878.0,892,800,0,1692,2,3,8,513.0,0,39,0,0,0,195006.98048054278
15240,0.0,198.0,688.0,140.0,1026.0,1026,0,0,1026,1,3,5,308.0,316,85,0,0,0,121687.69065168535
7480,0.0,480.0,0.0,396.0,876.0,876,0,0,876,1,3,5,484.0,0,0,0,0,0,111820.45971868132
10389,320.0,1682.0,0.0,296.0,1978.0,1978,0,0,1978,2,3,8,850.0,188,25,0,0,0,297318.1055470151
9375,0.0,0.0,0.0,1040.0,1040.0,1044,1054,0,2098,2,4,9,621.0,331,38,0,0,0,227815.9971894327
4435,170.0,672.0,0.0,176.0,848.0,848,0,0,848,1,1,4,420.0,140,0,0,0,0,149268.7827560084
8777,0.0,0.0,0.0,0.0,0.0,640,0,0,640,1,2,5,240.0,0,0,0,0,0,64282.15163094486
8842,0.0,0.0,0.0,381.0,381.0,992,0,0,992,1,3,6,319.0,60,0,56,0,0,86482.03528256755
10044,0.0,1070.0,0.0,126.0,1196.0,1196,0,0,1196,1,3,6,336.0,257,0,168,0,0,142912.83721546404
11792,0.0,0.0,0.0,744.0,744.0,792,328,0,1120,1,2,5,480.0,0,0,0,0,160,145409.9295683749
6305,0.0,528.0,0.0,480.0,1008.0,1096,0,0,1096,1,3,5,352.0,0,0,0,0,0,115866.57722144289
6410,0.0,0.0,0.0,960.0,960.0,960,0,0,960,1,3,5,0.0,0,0,0,0,0,77056.41610373624
4853,203.0,133.0,0.0,974.0,1107.0,1296,0,0,1296,2,2,5,260.0,0,0,36,0,0,160663.9063542165
7890,0.0,238.0,0.0,618.0,856.0,856,0,0,856,1,2,4,399.0,0,0,0,0,166,124979.98866344949
7200,0.0,0.0,0.0,0.0,0.0,862,1788,0,2650,3,6,10,0.0,0,0,0,0,0,149814.45716129677
9839,0.0,0.0,0.0,894.0,894.0,894,772,0,1666,1,3,7,0.0,0,156,0,0,0,128810.14452502059
10452,371.0,426.0,252.0,850.0,1528.0,1225,908,0,2133,1,4,8,312.0,0,0,86,0,0,195741.32222054317
15600,430.0,375.0,0.0,657.0,1032.0,1102,1075,0,2177,2,5,11,484.0,0,0,0,0,0,222392.05713668597
19645,44.0,343.0,0.0,80.0,423.0,896,756,0,1652,2,3,6,473.0,0,0,0,0,0,164925.25615178063
3907,0.0,747.0,0.0,235.0,982.0,1034,0,0,1034,1,1,4,598.0,141,36,0,0,0,169021.42131708053
3907,0.0,76.0,0.0,1115.0,1191.0,1191,0,0,1191,2,2,5,531.0,112,81,0,0,0,178719.56407536592
8154,0.0,480.0,0.0,0.0,480.0,540,0,0,540,1,1,4,200.0,0,0,0,0,0,92738.24654209544
9140,0.0,308.0,0.0,321.0,629.0,727,380,0,1107,1,2,5,625.0,0,56,0,0,200,158678.04091031314
8712,0.0,0.0,0.0,756.0,756.0,952,0,0,952,1,3,5,330.0,0,0,265,0,0,82115.42985773731
3811,186.0,1373.0,0.0,221.0,1594.0,1646,0,0,1646,2,2,5,525.0,128,53,0,0,155,244501.22055524332
11050,0.0,615.0,0.0,434.0,1049.0,1036,880,0,1916,2,3,8,741.0,0,70,0,0,0,232056.48905943515
9620,0.0,679.0,0.0,564.0,1243.0,1285,0,0,1285,2,3,6,473.0,375,26,0,0,0,187547.3239618826
12760,0.0,0.0,0.0,1958.0,1958.0,2048,0,0,2048,3,5,9,776.0,0,0,0,0,0,244162.29226127194
11896,60.0,78.0,0.0,1258.0,1336.0,1346,0,0,1346,2,3,6,660.0,100,48,0,0,0,191190.45535398586
9803,0.0,0.0,0.0,1214.0,1214.0,1214,0,0,1214,2,2,6,520.0,0,25,0,0,0,179854.88502164083
9802,0.0,0.0,0.0,384.0,384.0,744,700,0,1444,2,3,7,400.0,100,0,0,0,0,151222.6464434279
15300,0.0,42.0,0.0,1026.0,1068.0,1264,0,0,1264,1,2,7,528.0,0,0,0,0,0,163496.6943878415
10114,0.0,0.0,0.0,1430.0,1430.0,1430,0,0,1430,2,3,7,624.0,0,0,0,0,0,191686.63840770436
11875,0.0,0.0,0.0,1344.0,1344.0,1344,0,0,1344,2,3,7,686.0,328,0,0,0,0,205202.94205147072
2394,0.0,915.0,0.0,30.0,945.0,945,0,0,945,1,2,5,253.0,174,0,56,0,108,134456.47462002333
1476,0.0,176.0,0.0,370.0,546.0,546,546,0,1092,1,3,5,0.0,200,26,0,0,0,85001.92733509149
1900,0.0,0.0,0.0,546.0,546.0,546,546,0,1092,1,3,5,0.0,0,0,0,0,0,73407.91281441676
1890,0.0,294.0,0.0,252.0,546.0,546,546,0,1092,1,3,5,286.0,0,0,64,0,0,94855.63057185628
6953,0.0,469.0,0.0,395.0,864.0,874,0,0,874,1,3,5,352.0,0,0,0,0,0,101355.27319585747
12887,0.0,207.0,590.0,36.0,833.0,833,0,0,833,1,2,5,495.0,431,0,0,0,0,141835.43699914758
7700,0.0,0.0,0.0,1216.0,1216.0,1216,1216,0,2432,4,4,10,616.0,200,0,0,0,0,289008.9277987215
10475,0.0,458.0,0.0,166.0,624.0,624,650,0,1274,1,3,6,576.0,22,0,0,0,0,141357.08452171177
10544,0.0,476.0,0.0,388.0,864.0,864,615,0,1479,2,5,8,275.0,287,0,280,0,0,132599.45813970346
9892,0.0,1341.0,284.0,54.0,1679.0,1803,0,0,1803,2,3,6,482.0,129,64,222,0,0,210324.09747752565
12961,0.0,944.0,0.0,208.0,1152.0,1152,645,0,1797,2,3,7,616.0,162,312,0,0,0,229522.4125326297
13008,0.0,564.0,0.0,318.0,882.0,882,0,0,882,1,2,5,502.0,0,0,0,0,0,133636.42488522496
10200,440.0,844.0,0.0,590.0,1434.0,1434,0,0,1434,2,4,7,528.0,80,21,0,0,0,199190.70678153788
10179,0.0,847.0,0.0,98.0,945.0,945,663,0,1608,2,3,7,470.0,252,30,0,0,0,200599.6688023972
11792,188.0,850.0,0.0,158.0,1008.0,1008,1275,0,2283,2,4,9,632.0,120,46,0,0,0,246338.73478984743
8400,32.0,284.0,0.0,100.0,384.0,958,670,0,1628,2,3,7,390.0,48,72,0,0,0,160380.43834856528
7296,0.0,1965.0,0.0,243.0,2208.0,2522,0,0,2522,2,1,8,564.0,182,57,0,0,0,330834.88289541355
7380,0.0,341.0,0.0,1077.0,1418.0,1478,0,0,1478,2,2,5,495.0,168,43,0,0,0,201489.1405151351
8013,0.0,741.0,0.0,846.0,1587.0,1734,0,0,1734,2,2,6,528.0,52,50,0,0,0,225430.16950875288
8923,0.0,189.0,0.0,195.0,384.0,751,631,0,1382,2,3,7,396.0,256,0,0,0,0,156586.5864675526
7500,0.0,476.0,0.0,476.0,952.0,952,684,0,1636,2,3,7,440.0,0,84,0,0,0,184640.60819195892
8803,0.0,600.0,0.0,107.0,707.0,707,809,0,1516,2,3,7,409.0,0,46,0,0,0,171327.46044554084
7250,45.0,0.0,0.0,1181.0,1181.0,1190,0,0,1190,2,3,6,430.0,0,21,0,0,0,154576.1745379824
11900,157.0,400.0,0.0,722.0,1122.0,946,988,0,1934,2,3,6,567.0,0,176,0,0,200,233354.7683674696
13250,256.0,0.0,0.0,832.0,832.0,1154,896,0,2050,2,4,8,529.0,192,192,0,0,0,211605.06292469826
10928,101.0,363.0,0.0,1064.0,1427.0,1671,0,0,1671,2,3,7,484.0,252,55,0,0,0,211819.79279756141
12388,229.0,602.0,0.0,441.0,1043.0,1539,1134,0,2673,2,4,9,441.0,178,84,0,0,0,249129.55168126427
11088,144.0,832.0,0.0,308.0,1140.0,1707,0,0,1707,2,3,7,479.0,0,0,0,0,0,196464.51941153596
7000,0.0,622.0,0.0,304.0,926.0,1016,868,0,1884,2,3,7,581.0,0,35,0,0,0,206834.93099310712
7500,0.0,0.0,0.0,1058.0,1058.0,1058,816,0,1874,2,3,7,588.0,0,134,0,0,0,206244.9797706425
8470,0.0,225.0,276.0,471.0,972.0,972,839,0,1811,2,3,7,565.0,225,48,0,0,0,209111.53558272307
9373,161.0,1333.0,168.0,120.0,1621.0,1621,0,0,1621,2,3,7,478.0,0,0,0,0,490,250675.4604167769
10140,196.0,888.0,0.0,228.0,1116.0,1116,0,0,1116,2,3,6,528.0,0,0,0,0,0,173087.7495152148
11050,0.0,636.0,0.0,540.0,1176.0,1193,0,0,1193,2,3,5,506.0,40,0,0,0,0,162124.40576534628
7830,0.0,0.0,0.0,1180.0,1180.0,1180,0,0,1180,1,2,6,477.0,0,45,0,0,0,153427.3981373695
8510,178.0,500.0,0.0,543.0,1043.0,1050,0,0,1050,1,3,6,336.0,0,0,0,0,0,127587.01289490351
7038,0.0,726.0,0.0,138.0,864.0,864,0,0,864,1,3,5,576.0,210,0,0,0,0,129962.45419491979
9000,0.0,240.0,0.0,624.0,864.0,864,0,0,864,1,3,5,576.0,200,0,0,0,0,124520.42616780088
1680,504.0,254.0,0.0,229.0,483.0,483,504,0,987,1,2,5,264.0,0,0,0,0,0,126896.88155626114
1680,425.0,110.0,294.0,79.0,483.0,483,504,0,987,1,2,5,288.0,0,0,0,0,0,122134.6842363016
2308,0.0,306.0,0.0,498.0,804.0,804,744,0,1548,2,3,7,440.0,108,0,0,0,0,176496.5499914494
2280,0.0,435.0,622.0,0.0,1057.0,1055,0,0,1055,2,2,4,440.0,0,27,0,0,0,149957.3229493466
2349,0.0,389.0,0.0,466.0,855.0,855,601,0,1456,2,3,6,440.0,0,28,0,0,0,163564.41998142147
2364,0.0,320.0,0.0,484.0,804.0,804,744,0,1548,2,3,7,440.0,108,0,0,0,0,176670.27142820338
2364,0.0,279.0,0.0,576.0,855.0,855,601,0,1456,2,3,6,440.0,147,0,0,0,0,168513.78181116984
2104,0.0,536.0,0.0,300.0,836.0,836,0,0,836,1,2,5,345.0,150,20,0,0,0,122673.42339611815
10710,165.0,644.0,0.0,220.0,864.0,1120,0,0,1120,1,3,5,656.0,0,162,0,0,0,146186.33323442386
14257,726.0,1360.0,0.0,416.0,1776.0,1794,978,0,2772,3,4,10,754.0,135,64,0,0,0,354733.0432728474
12350,0.0,986.0,0.0,379.0,1365.0,1365,1325,0,2690,2,3,8,864.0,0,197,0,0,0,296604.61798592855
12350,450.0,1232.0,0.0,788.0,2020.0,2020,0,0,2020,2,3,7,896.0,192,98,0,0,0,300598.11656108405
13693,472.0,2288.0,0.0,342.0,2630.0,2674,0,0,2674,2,2,8,762.0,360,50,0,0,0,382415.76689933427
11578,302.0,0.0,0.0,1736.0,1736.0,1736,0,0,1736,2,3,7,834.0,319,90,0,0,0,259760.07214007675
16870,238.0,1531.0,0.0,251.0,1782.0,1782,0,0,1782,2,3,7,932.0,99,82,0,0,0,276317.60323860147
23303,20.0,1230.0,0.0,278.0,1508.0,1508,1012,0,2520,2,5,10,640.0,192,273,0,0,0,267531.20453885815
10367,284.0,1015.0,0.0,724.0,1739.0,1743,0,0,1743,2,3,8,927.0,168,45,0,0,0,275286.61343601823
10872,122.0,1037.0,0.0,467.0,1504.0,1531,0,0,1531,2,2,6,700.0,184,52,0,0,0,242308.47336772078
13514,285.0,1142.0,0.0,632.0,1774.0,1808,0,0,1808,2,3,7,850.0,200,26,0,0,0,271158.6577616193
12878,418.0,1262.0,0.0,498.0,1760.0,1760,0,0,1760,2,3,8,583.0,165,190,0,0,0,263313.9377943047
15274,724.0,1972.0,0.0,480.0,2452.0,2452,0,0,2452,2,3,10,886.0,0,116,0,0,0,362085.1456595565
13262,186.0,0.0,0.0,1082.0,1082.0,1105,1295,0,2400,3,4,10,730.0,114,40,0,0,0,277697.55933522736
9658,383.0,0.0,0.0,1598.0,1598.0,1606,0,0,1606,2,3,6,871.0,230,60,0,0,0,244634.81709168546
6904,240.0,836.0,0.0,522.0,1358.0,1358,0,0,1358,2,2,6,484.0,192,36,0,0,0,215858.47248166538
5122,135.0,881.0,0.0,425.0,1306.0,1306,0,0,1306,2,1,5,624.0,170,63,0,0,0,229242.599555869
10307,176.0,876.0,0.0,474.0,1350.0,1358,0,0,1358,2,2,6,484.0,192,26,0,0,0,214082.83312758323
14836,730.0,2146.0,0.0,346.0,2492.0,2492,0,0,2492,2,2,8,949.0,226,235,0,0,0,390767.2058241947
15262,470.0,1557.0,0.0,643.0,2200.0,2200,0,0,2200,2,3,8,685.0,208,55,0,0,0,309789.8063313102
7390,308.0,800.0,0.0,1084.0,1884.0,1884,0,0,1884,2,2,6,649.0,231,90,0,0,0,273531.55606830225
6472,500.0,0.0,0.0,1451.0,1451.0,1456,0,0,1456,2,2,6,539.0,192,42,0,0,0,228435.984256784
16770,270.0,1196.0,0.0,516.0,1712.0,1712,0,0,1712,2,3,8,701.0,218,183,0,0,0,264777.92644965067
